time,latitude,longitude,krill_young_larvae,krill_free_larvae,krill_late_larvae,krill_juveniles,krill_adults,krill_adult_log
2010-12-29 12:00:00,-79,159,,,,,,
2010-12-29 12:00:00,-79,161,,,,,,
2010-12-29 12:00:00,-79,163,,,,,,
2010-12-29 12:00:00,-79,165,,,,,,
2010-12-29 12:00:00,-79,167,,,,,,
2010-12-29 12:00:00,-79,169,,,,,,
2010-12-29 12:00:00,-79,171,,,,,,
2010-12-29 12:00:00,-79,173,,,,,,
2010-12-29 12:00:00,-79,175,,,,,,
2010-12-29 12:00:00,-79,177,,,,,,
2010-12-29 12:00:00,-79,179,,,,,,
2010-12-29 12:00:00,-77,-179,1.1375389657914639,1.818131322041154,0.0,1.6523007154464722,2.75419032946229,0.57452
2010-12-29 12:00:00,-77,-177,1.5887613175436854,2.650117276236415,0.0,1.9250261709094048,5.579260028898716,0.81818
2010-12-29 12:00:00,-77,-175,2.62300456315279,4.523373998701572,0.0,2.843886587768793,9.060930222272873,1.00264
2010-12-29 12:00:00,-77,-173,2.78488979768008,4.333894656971097,0.0,2.6098532266914845,8.941959537565708,0.99747
2010-12-29 12:00:00,-77,-171,3.1772161619737744,5.2482176795601845,0.0,3.2552809938788414,13.116278529167175,1.14972
2010-12-29 12:00:00,-77,-169,4.264490799047053,7.090890256687999,0.0,4.533040365204215,18.77843039482832,1.29619
2010-12-29 12:00:00,-77,-167,6.44891057908535,9.174601655453444,0.0,7.209127198904753,30.97567704319954,1.50482
2010-12-29 12:00:00,-77,-165,7.185601552948356,7.956186693161726,0.0,7.906241646036506,35.344820000231266,1.56044
2010-12-29 12:00:00,-77,-163,14.59749111533165,22.204777993261814,0.0,28.07121778279543,116.03557831048965,2.06832
2010-12-29 12:00:00,-77,-161,14.505199063569307,22.930773708969355,0.0,21.754942759871483,89.86644139885902,1.9584
2010-12-29 12:00:00,-77,-159,17.412738252431154,29.143218725919724,0.0,16.639016203582287,71.16259668767452,1.85831
2010-12-29 12:00:00,-77,-157,11.430778458714485,13.465943962335587,0.0,12.701352871954441,48.155901685357094,1.69158
2010-12-29 12:00:00,-77,-155,13.57172666862607,21.600848361849785,0.0,22.095879442989826,83.2579433619976,1.92561
2010-12-29 12:00:00,-77,-153,19.436213675886393,31.90690740197897,0.0,33.785608515143394,125.69744077324867,2.10277
2010-12-29 12:00:00,-77,-151,22.8424612917006,41.029781974852085,0.0,97.70491269230843,341.29075491428375,2.5344
2010-12-29 12:00:00,-77,-149,,,,,,
2010-12-29 12:00:00,-77,-147,,,,,,
2010-12-29 12:00:00,-77,-145,,,,,,
2010-12-29 12:00:00,-77,-143,,,,,,
2010-12-29 12:00:00,-77,-141,,,,,,
2010-12-29 12:00:00,-77,-139,,,,,,
2010-12-29 12:00:00,-77,-137,,,,,,
2010-12-29 12:00:00,-77,-135,,,,,,
