latitude,longitude,krill_greenweight_kg,krill_catch_density,krill_greenweight_kg_log,krill_catch_density_log
-67,15,75.0,1.0901320854173586,1.8808135922807914,0.32017373211837896
-67,17,18.3,0.26599222884183554,1.2855573090077739,0.10243103981919785
-67,19,,,,
-67,21,,,,
-67,23,10.0,0.1453509447223145,1.0413926851582251,0.05893857838213485
-67,25,,,,
-67,27,5.0,0.07267547236115725,0.7781512503836436,0.03046835022249347
-67,29,,,,
-67,31,2.0,0.0290701889444629,0.47712125471966244,0.012444997339394992
-67,33,218.5,3.1759181421825717,2.34143452457814,0.6207519768843295
-67,35,7.0,0.10174566130562016,0.9030899869919435,0.04208134892578414
-67,37,200.0,2.9070188944462902,2.303196057420489,0.5918455114894173
-67,39,4194.2,60.96309323543315,3.6227526700099904,1.7921330898739378
-67,41,27851.628,404.8260441854467,4.444866178757596,2.608339914760108
-67,43,12506.099999999999,181.7773449791737,4.097156622243383,2.2619223644816757
-67,45,7735.5,112.43622328994638,3.8885445298732684,2.054751758815367
-67,47,54081.6,786.0811652094324,4.733057561974083,2.896019519887674
-67,49,941970.0,13691.62294000786,5.974037532587098,4.136486648956479
-67,51,60.0,6.82517479565646,1.7853298350107671,0.8934940474250292
-67,53,,,,
-67,55,,,,
-67,57,2500.0,284.3822831523525,3.3981136917305026,2.4554270081339142
-67,59,13102.591,190.44739801600952,4.117390329073304,2.2820494681766905
-67,61,457585.282,6651.04530297267,5.66047299624606,3.822955198269076
-67,63,3289694.428,47816.0192957534,6.517155691244213,4.6795825006013265
-67,65,27757.550000000003,403.4586115676881,4.44339677650019,2.6068740866716054
-67,67,4956.825000000001,72.04791965731867,3.6952911930902017,1.8636078521086177
-67,69,451753.7747267707,6566.283793840777,5.654902751441117,3.817385783979994
-67,71,174770.67846682516,2540.3083224912903,5.2424710571192445,3.4050573587274475
-67,73,5264.061,76.51362394258916,3.721403407204303,1.8893780416428712
-67,75,32938.522000000004,478.76452904567407,4.51771729263979,2.6810281356510095
-67,77,1191.582,17.319756941410496,3.0764882501215194,1.2629197073392304
-67,79,5000.6,72.68419341784059,3.699108956339093,1.8673743338881037
-67,81,266.05,3.8670618843371773,2.426592582305156,0.6872668683013015
-67,83,,,,
-67,85,,,,
-67,87,,,,
-67,89,,,,
-67,91,,,,
-67,93,,,,
-67,95,,,,
-67,97,,,,
-67,99,,,,
-67,101,,,,
-67,103,,,,
-67,105,,,,
-67,107,,,,
-67,109,,,,
-67,111,,,,
-67,113,,,,
-67,115,,,,
-67,117,,,,
-67,119,,,,
-67,121,,,,
-67,123,,,,
