latitude,longitude,krill_greenweight_kg,krill_greenweight_kg_log
-67,169,,
-67,171,,
-67,173,,
-67,175,,
-67,177,,
-67,179,,
-65,-179,,
-65,-177,,
-65,-175,,
-65,-173,,
-65,-171,,
-65,-169,,
-65,-167,,
-65,-165,,
-65,-163,,
-65,-161,,
-65,-159,,
-65,-157,,
-65,-155,,
-65,-153,,
-65,-151,,
-65,-149,,
-65,-147,,
-65,-145,,
-65,-143,,
-65,-141,,
-65,-139,,
-65,-137,,
-65,-135,,
-65,-133,,
-65,-131,,
-65,-129,,
-65,-127,,
-65,-125,,
-65,-123,,
-65,-121,,
-65,-119,,
-65,-117,,
-65,-115,,
-65,-113,,
-65,-111,,
-65,-109,,
-65,-107,,
-65,-105,,
-65,-103,,
-65,-101,,
-65,-99,,
-65,-97,,
-65,-95,,
-65,-93,,
-65,-91,,
-65,-89,,
-65,-87,,
-65,-85,,
-65,-83,,
-65,-81,,
-65,-79,,
-65,-77,,
-65,-75,,
-65,-73,49840.0,4.697586747337411
-65,-71,,
-65,-69,59125.0,4.771778499044967
-65,-67,99982.57425742575,4.999928658047005
-65,-65,1163650.8,6.065823045639167
-65,-63,10414620.779786164,7.017643502614594
-65,-61,73061672.58741629,7.863689616157519
-65,-59,,
-65,-57,,
-65,-55,5000.0,3.699056854547668
-65,-53,,
-65,-51,,
-65,-49,,
-65,-47,,
-65,-45,,
-65,-43,30000.0,4.477135730961123
-65,-41,,
-65,-39,,
-65,-37,,
-65,-35,,
-65,-33,,
-65,-31,,
-65,-29,,
-65,-27,,
-65,-25,,
-65,-23,,
-65,-21,,
-65,-19,,
-65,-17,,
-65,-15,,
-65,-13,,
-65,-11,,
-65,-9,,
-65,-7,,
-65,-5,,
-65,-3,,
-65,-1,,
-65,1,,
-65,3,0.5,0.17609125905568124
-65,5,1340.06,3.1274482089373454
-65,7,,
-65,9,,
-65,11,,
-65,13,,
-65,15,,
-65,17,,
-65,19,,
-65,21,,
-65,23,,
-65,25,,
-65,27,,
-65,29,,
-65,31,,
-65,33,,
-65,35,,
-65,37,0.2,0.07918124604762482
-65,39,0.2,0.07918124604762482
-65,41,182503.77825935098,5.261274239447307
-65,43,47832.66373744902,4.679733646187046
-65,45,15219.4532424,4.182427585269143
-65,47,5054.8,3.7037898855642095
-65,49,9098.7,3.959027074684585
-65,51,18116.7,4.258103064162634
-65,53,18601.9,4.269580651520307
-65,55,539068.0,5.73164435776809
-65,57,792288.58,5.89888394422867
-65,59,306.6,2.4879863311293935
-65,61,358.6,2.5558196830611912
-65,63,21150.013,4.325331172173227
-65,65,354.3,2.550595207489328
-65,67,2600.0,3.4151403521958725
-65,69,3.001,0.6021685513789972
-65,71,53.5,1.7363965022766426
-65,73,0.001,0.0004340774793185929
-65,75,677.015,2.8312393020457765
-65,77,1.5220000000000002,0.40174508223706284
-65,79,4006.358,3.6028581421530577
-65,81,5004.17,3.6994188328259456
-65,83,9183.96357241399,3.963077438232359
-65,85,1015.0,3.0068937079479006
-65,87,0.684,0.22634208716363075
-65,89,,
-65,91,,
