latitude,longitude,krill_greenweight_kg,krill_catch_density,krill_greenweight_kg_log,krill_catch_density_log
-69,-179,,,,
-69,-177,,,,
-69,-175,,,,
-69,-173,,,,
-69,-171,,,,
-69,-169,,,,
-69,-167,,,,
-69,-165,,,,
-69,-163,,,,
-69,-161,,,,
-69,-159,,,,
-69,-157,,,,
-69,-155,,,,
-69,-153,,,,
-69,-151,,,,
-69,-149,,,,
-69,-147,,,,
-69,-145,,,,
-69,-143,,,,
-69,-141,,,,
-69,-139,,,,
-69,-137,,,,
-69,-135,,,,
-69,-133,,,,
-69,-131,,,,
-69,-129,,,,
-69,-127,,,,
-69,-125,,,,
-69,-123,,,,
-69,-121,,,,
-69,-119,,,,
-69,-117,,,,
-69,-115,,,,
-69,-113,,,,
-69,-111,,,,
-69,-109,,,,
-69,-107,,,,
-69,-105,,,,
-69,-103,,,,
-69,-101,,,,
-69,-99,,,,
-69,-97,,,,
-69,-95,,,,
-69,-93,,,,
-69,-91,,,,
-69,-89,,,,
-69,-87,,,,
-69,-85,,,,
-69,-83,,,,
-69,-81,,,,
-69,-79,,,,
-69,-77,,,,
-69,-75,,,,
-69,-73,,,,
-69,-71,,,,
-69,-69,,,,
-69,-67,,,,
-69,-65,,,,
-69,-63,,,,
-69,-61,,,,
-69,-59,,,,
-69,-57,,,,
-69,-55,,,,
-69,-53,,,,
-69,-51,,,,
-69,-49,,,,
-69,-47,,,,
-69,-45,,,,
-69,-43,,,,
-69,-41,,,,
-69,-39,,,,
-69,-37,,,,
-69,-35,,,,
-69,-33,,,,
-69,-31,,,,
-69,-29,,,,
-69,-27,,,,
-69,-25,,,,
-69,-23,,,,
-69,-21,,,,
-69,-19,,,,
-69,-17,,,,
-69,-15,,,,
-69,-13,,,,
-69,-11,,,,
-69,-9,,,,
-69,-7,,,,
-69,-5,,,,
-69,-3,,,,
-69,-1,,,,
-69,1,,,,
-69,3,,,,
-69,5,1600.0,76.06866670183415,3.2043913319193,1.8868778456988033
-69,7,0.264,0.012551330005802636,0.10174707394636621,0.005417048452855002
-69,9,0.158,0.007511780836806123,0.06370855939141737,0.0032501330488832747
-69,11,,,,
-69,13,36200.0,1721.0535841289975,4.558720567452599,3.2360466610139644
-69,15,,,,
-69,17,,,,
-69,19,,,,
-69,21,,,,
-69,23,,,,
-69,25,,,,
-69,27,,,,
-69,29,105000.0,4992.006252307866,5.021193435188165,3.6983621098846924
-69,31,,,,
-69,33,3300.0,1344.785357764589,3.5186455243303114,3.1289757988390776
-69,35,6500.0,309.02895847620124,3.8129801660394804,2.4914022613150517
-69,37,1.0,0.047542916688646346,0.3010299956639812,0.02017182457318383
-69,39,1071136.5,50924.95338166823,6.02984522401422,4.706939168148823
-69,41,14000.0,5705.15000263765,4.1461590556048185,3.756343184156236
-69,43,,,,
-69,45,,,,
-69,47,,,,
-69,49,,,,
-69,51,,,,
-69,53,,,,
-69,55,,,,
-69,57,,,,
-69,59,,,,
-69,61,,,,
-69,63,,,,
-69,65,,,,
-69,67,,,,
-69,69,,,,
-69,71,,,,
-69,73,,,,
-69,75,0.003,0.00014262875006593902,0.001300933020418072,6.193846211664527e-05
-69,77,,,,
-69,79,,,,
-69,81,,,,
-69,83,,,,
-69,85,,,,
-69,87,,,,
-69,89,,,,
-69,91,,,,
-69,93,,,,
-69,95,,,,
-69,97,,,,
-69,99,,,,
-69,101,,,,
-69,103,,,,
-69,105,,,,
-69,107,,,,
-69,109,,,,
-69,111,,,,
-69,113,,,,
-69,115,,,,
-69,117,,,,
-69,119,,,,
-69,121,,,,
-69,123,,,,
-69,125,,,,
-69,127,,,,
-69,129,,,,
-69,131,,,,
-69,133,,,,
-69,135,,,,
-69,137,,,,
-69,139,,,,
-69,141,,,,
-69,143,,,,
-69,145,,,,
-69,147,,,,
-69,149,,,,
-69,151,,,,
-69,153,,,,
-69,155,,,,
-69,157,,,,
-69,159,,,,
-69,161,,,,
-69,163,,,,
-69,165,,,,
-69,167,,,,
-69,169,,,,
-69,171,,,,
-69,173,,,,
-69,175,,,,
-69,177,,,,
-69,179,,,,
-67,-179,,,,
-67,-177,,,,
-67,-175,,,,
-67,-173,,,,
-67,-171,,,,
-67,-169,,,,
-67,-167,,,,
-67,-165,,,,
-67,-163,,,,
-67,-161,,,,
-67,-159,,,,
-67,-157,,,,
-67,-155,,,,
-67,-153,,,,
-67,-151,,,,
-67,-149,,,,
-67,-147,,,,
-67,-145,,,,
-67,-143,,,,
-67,-141,,,,
-67,-139,,,,
-67,-137,,,,
-67,-135,,,,
-67,-133,,,,
-67,-131,,,,
-67,-129,,,,
-67,-127,,,,
-67,-125,,,,
-67,-123,,,,
-67,-121,,,,
-67,-119,,,,
-67,-117,,,,
-67,-115,,,,
-67,-113,,,,
-67,-111,,,,
-67,-109,,,,
-67,-107,,,,
-67,-105,,,,
-67,-103,,,,
-67,-101,,,,
-67,-99,,,,
-67,-97,,,,
-67,-95,,,,
-67,-93,,,,
-67,-91,,,,
-67,-89,,,,
-67,-87,,,,
-67,-85,,,,
-67,-83,,,,
-67,-81,,,,
-67,-79,,,,
-67,-77,,,,
-67,-75,,,,
-67,-73,,,,
-67,-71,,,,
-67,-69,3250.0,141.71717110425664,3.5120169694961265,2.154476228666105
-67,-67,258050.0,88061.81780095748,5.411705546388495,4.944792577737498
-67,-65,,,,
-67,-63,,,,
-67,-61,,,,
-67,-59,,,,
-67,-57,23000.0,1002.9215185839699,4.361746717975897,3.0016997632291833
-67,-55,,,,
-67,-53,,,,
-67,-51,,,,
-67,-49,,,,
-67,-47,,,,
-67,-45,,,,
-67,-43,,,,
-67,-41,,,,
-67,-39,,,,
-67,-37,,,,
-67,-35,,,,
-67,-33,,,,
-67,-31,,,,
-67,-29,,,,
-67,-27,,,,
-67,-25,,,,
-67,-23,,,,
-67,-21,,,,
-67,-19,,,,
-67,-17,,,,
-67,-15,,,,
-67,-13,,,,
-67,-11,,,,
-67,-9,,,,
-67,-7,,,,
-67,-5,,,,
-67,-3,,,,
-67,-1,,,,
-67,1,,,,
-67,3,400.11,17.446909947853577,2.603263489432861,1.265923627677265
-67,5,16030.053,698.9950042496315,4.204962049931802,2.8450949405363137
-67,7,2.1,0.09157109517505814,0.4913616938342727,0.038052027023348346
-67,9,,,,
-67,11,,,,
-67,13,,,,
-67,15,75.0,3.270396256252076,1.8808135922807914,0.6304681757086587
-67,17,18.3,0.7979766865255066,1.2855573090077739,0.2547840561519549
-67,19,,,,
-67,21,,,,
-67,23,10.0,0.43605283416694346,1.0413926851582251,0.1571704184334793
-67,25,,,,
