LONGITUDE_largegrid,LATITUDE_largegrid,STANDARDISED_KRILL_UNDER_1M2,STANDARDISED_KRILL_UNDER_1M2_log
-143,-63,0.0,0.0
-143,-61,,
-143,-59,,
-143,-57,,
-143,-55,,
-143,-53,,
-143,-51,,
-143,-49,,
-143,-47,,
-141,-77,,
-141,-75,,
-141,-73,,
-141,-71,0.0,0.0
-141,-69,0.28300000000000003,0.10822665637492848
-141,-67,0.0,0.0
-141,-65,0.0,0.0
-141,-63,0.0,0.0
-141,-61,,
-141,-59,,
-141,-57,,
-141,-55,,
-141,-53,,
-141,-51,,
-141,-49,,
-141,-47,,
-139,-77,,
-139,-75,,
-139,-73,,
-139,-71,,
-139,-69,0.7326666666666668,0.23871502044533138
-139,-67,0.094,0.039017321997412
-139,-65,0.715,0.23426412437878927
-139,-63,,
-139,-61,,
-139,-59,,
-139,-57,,
-139,-55,,
-139,-53,,
-139,-51,,
-139,-49,,
-139,-47,,
-137,-77,,
-137,-75,,
-137,-73,,
-137,-71,,
-137,-69,0.7326666666666668,0.23871502044533138
-137,-67,0.094,0.039017321997412
-137,-65,0.715,0.23426412437878927
-137,-63,,
-137,-61,,
-137,-59,,
-137,-57,,
-137,-55,,
-137,-53,,
-137,-51,,
-137,-49,,
-137,-47,,
-135,-77,,
-135,-75,,
-135,-73,,
-135,-71,,
-135,-69,0.7326666666666668,0.23871502044533138
-135,-67,0.094,0.039017321997412
-135,-65,0.715,0.23426412437878927
-135,-63,,
-135,-61,,
-135,-59,,
-135,-57,,
-135,-55,,
-135,-53,,
-135,-51,,
-135,-49,,
-135,-47,,
-133,-77,,
-133,-75,,
-133,-73,,
-133,-71,,
-133,-69,4.70575,0.7563127389300582
-133,-67,0.0,0.0
-133,-65,,
-133,-63,,
-133,-61,,
-133,-59,,
-133,-57,,
-133,-55,,
-133,-53,,
-133,-51,,
-133,-49,,
-133,-47,,
-131,-77,,
-131,-75,,
-131,-73,,
-131,-71,,
-131,-69,4.70575,0.7563127389300582
-131,-67,0.0,0.0
-131,-65,,
-131,-63,,
-131,-61,,
-131,-59,,
-131,-57,,
-131,-55,,
-131,-53,,
-131,-51,,
-131,-49,,
-131,-47,,
-129,-77,,
-129,-75,,
-129,-73,,
-129,-71,,
