latitude,longitude,label_grid,mean_seq_time,Upper_tiertile_seq,krill_adult_log,Upper_tiertile_krill,Zone_type
-75,151,0.0,,,,,
-75,153,0.0,,,,,
-75,155,0.0,,,,,
-75,157,0.0,,,,,
-75,159,0.0,,,,,
-75,161,0.0,,,,,
-75,163,0.0,,,,,
-75,165,0.0,,,,,
-75,167,0.0,-0.0,0.0,1.79667,1.0,2.0
-75,169,0.0,2.7215876857981787,0.0,1.95216,1.0,2.0
-75,171,0.0,766.5534194664775,1.0,1.92719,1.0,3.0
-75,173,0.0,782.9927722449064,1.0,1.88611,1.0,3.0
-75,175,0.0,414.15645143908824,0.0,1.77518,1.0,2.0
-75,177,0.0,528.6626711422747,1.0,1.59945,1.0,3.0
-75,179,0.0,,,,,
-73,-179,0.0,640.3098464948225,1.0,1.42879,0.0,1.0
-73,-177,0.0,578.5561656541986,1.0,1.55057,0.0,1.0
-73,-175,0.0,649.2190298746384,1.0,1.65792,1.0,3.0
-73,-173,0.0,489.75283194097653,1.0,1.62782,1.0,3.0
-73,-171,0.0,494.19395721913384,1.0,1.70983,1.0,3.0
-73,-169,0.0,495.8476608753788,1.0,1.64788,1.0,3.0
-73,-167,0.0,496.53950846231527,1.0,1.56159,0.0,1.0
-73,-165,0.0,482.61566743579647,1.0,1.37659,0.0,1.0
-73,-163,0.0,470.93808358783247,1.0,1.30124,0.0,1.0
-73,-161,0.0,478.0588778345485,1.0,1.35341,0.0,1.0
-73,-159,0.0,474.56640116253635,1.0,1.29869,0.0,1.0
-73,-157,0.0,468.7603938619502,1.0,1.14016,0.0,1.0
-73,-155,0.0,460.8440338148978,1.0,1.3081,0.0,1.0
-73,-153,0.0,461.1959545171609,1.0,1.2904,0.0,1.0
-73,-151,0.0,468.201894720093,1.0,1.50624,0.0,1.0
-73,-149,0.0,468.49038461033166,1.0,1.64302,1.0,3.0
-73,-147,0.0,461.31525349488743,1.0,1.68396,1.0,3.0
-73,-145,0.0,446.3790503159661,1.0,1.70328,1.0,3.0
-73,-143,0.0,411.6906545819403,0.0,1.79433,1.0,2.0
-73,-141,0.0,389.20288152629587,0.0,1.81689,1.0,2.0
-73,-139,0.0,364.2409949774259,0.0,1.88396,1.0,2.0
-73,-137,0.0,468.0665797230981,1.0,2.15961,1.0,3.0
-73,-135,0.0,374.07287552049985,0.0,2.01021,1.0,2.0
-73,-133,0.0,493.26961567119855,1.0,2.24575,1.0,3.0
-73,-131,0.0,260.08900779509975,0.0,2.39252,1.0,2.0
-73,-129,0.0,258.4436236066113,0.0,2.49333,1.0,2.0
-73,-127,0.0,40.46111638325501,0.0,2.63915,1.0,2.0
-73,-125,0.0,109.52164636719482,0.0,2.94655,1.0,2.0
-73,-123,0.0,129.1517586217769,0.0,2.83318,1.0,2.0
-73,-121,0.0,62.346502785629966,0.0,2.61659,1.0,2.0
-73,-119,0.0,46.701504944799,0.0,2.56595,1.0,2.0
-73,-117,0.0,44.90501901577822,0.0,2.40678,1.0,2.0
-73,-115,0.0,209.36056691137918,0.0,2.56423,1.0,2.0
-73,-113,0.0,69.53518313691588,0.0,2.42594,1.0,2.0
-73,-111,0.0,31.447647698534837,0.0,2.31853,1.0,2.0
-73,-109,0.0,,,,,
-73,-107,0.0,436.61098262561654,1.0,2.52238,1.0,3.0
-73,-105,0.0,0.5170803698430525,0.0,2.37749,1.0,2.0
-73,-103,0.0,,,,,
-73,-101,0.0,,,,,
-73,-99,0.0,,,,,
-73,-97,0.0,,,,,
-73,-95,0.0,,,,,
-73,-93,0.0,,,,,
-73,-91,0.0,,,,,
-73,-89,0.0,,,,,
-73,-87,0.0,,,,,
-73,-85,0.0,,,,,
-73,-83,0.0,257.1072159970132,0.0,3.23424,1.0,2.0
-73,-81,0.0,167.03503021470027,0.0,3.54706,1.0,2.0
-73,-79,0.0,,,,,
-73,-77,0.0,,,,,
-73,-75,0.0,,,,,
-73,-73,0.0,,,,,
-73,-71,0.0,,,,,
-73,-69,0.0,,,,,
-73,-67,0.0,,,,,
-73,-65,0.0,,,,,
-73,-63,0.0,,,,,
-73,-61,0.0,,,,,
-73,-59,0.0,0.0,0.0,1.49179,0.0,0.0
-73,-57,0.0,725.5903678083274,1.0,2.05378,1.0,3.0
-73,-55,0.0,747.0622101614633,1.0,2.30179,1.0,3.0
-73,-53,0.0,739.7703760366545,1.0,2.33621,1.0,3.0
-73,-51,0.0,711.5851861696266,1.0,2.32882,1.0,3.0
-73,-49,0.0,213.77141263669847,0.0,2.2895,1.0,2.0
-73,-47,0.0,609.178721741692,1.0,2.33445,1.0,3.0
-73,-45,0.0,701.1154660011456,1.0,2.32009,1.0,3.0
-73,-43,0.0,733.5783659035646,1.0,2.41103,1.0,3.0
-73,-41,0.0,718.2674335255463,1.0,2.32007,1.0,3.0
-73,-39,0.0,696.4830990339221,1.0,2.27741,1.0,3.0
-73,-37,0.0,543.0918215814305,1.0,2.32823,1.0,3.0
-73,-35,0.0,592.7567435381904,1.0,2.3482,1.0,3.0
-73,-33,0.0,608.7222203263707,1.0,2.31183,1.0,3.0
-73,-31,0.0,622.1150798360699,1.0,2.31198,1.0,3.0
-73,-29,0.0,595.3730575849012,1.0,2.29718,1.0,3.0
-73,-27,0.0,537.957568012447,1.0,2.23403,1.0,3.0
-73,-25,0.0,496.95766176785446,1.0,2.08077,1.0,3.0
-73,-23,0.0,551.6762235738867,1.0,1.98914,1.0,3.0
-73,-21,0.0,310.2538157048318,0.0,1.96531,1.0,2.0
-73,-19,0.0,,,,,
-73,-17,0.0,,,,,
-73,-15,0.0,,,,,
-73,-13,0.0,,,,,
-73,-11,0.0,,,,,
-73,-9,0.0,,,,,
-73,-7,0.0,,,,,
-73,-5,0.0,,,,,
-73,-3,0.0,,,,,
-73,-1,0.0,,,,,
-73,1,0.0,,,,,
-73,3,0.0,,,,,
-73,5,0.0,,,,,
-73,7,0.0,,,,,
-73,9,0.0,,,,,
-73,11,0.0,,,,,
-73,13,0.0,,,,,
-73,15,0.0,,,,,
-73,17,0.0,,,,,
-73,19,0.0,,,,,
-73,21,0.0,,,,,
-73,23,0.0,,,,,
-73,25,0.0,,,,,
-73,27,0.0,,,,,
-73,29,0.0,,,,,
-73,31,0.0,,,,,
-73,33,0.0,,,,,
-73,35,0.0,,,,,
-73,37,0.0,,,,,
-73,39,0.0,,,,,
-73,41,0.0,,,,,
-73,43,0.0,,,,,
-73,45,0.0,,,,,
-73,47,0.0,,,,,
-73,49,0.0,,,,,
-73,51,0.0,,,,,
-73,53,0.0,,,,,
-73,55,0.0,,,,,
-73,57,0.0,,,,,
-73,59,0.0,,,,,
-73,61,0.0,,,,,
-73,63,0.0,,,,,
-73,65,0.0,,,,,
-73,67,0.0,,,,,
-73,69,0.0,,,,,
-73,71,0.0,,,,,
-73,73,0.0,,,,,
-73,75,0.0,,,,,
-73,77,0.0,,,,,
-73,79,0.0,,,,,
-73,81,0.0,,,,,
-73,83,0.0,,,,,
-73,85,0.0,,,,,
-73,87,0.0,,,,,
-73,89,0.0,,,,,
-73,91,0.0,,,,,
-73,93,0.0,,,,,
-73,95,0.0,,,,,
-73,97,0.0,,,,,
-73,99,0.0,,,,,
-73,101,0.0,,,,,
-73,103,0.0,,,,,
-73,105,0.0,,,,,
-73,107,0.0,,,,,
-73,109,0.0,,,,,
-73,111,0.0,,,,,
-73,113,0.0,,,,,
-73,115,0.0,,,,,
-73,117,0.0,,,,,
-73,119,0.0,,,,,
-73,121,0.0,,,,,
-73,123,0.0,,,,,
-73,125,0.0,,,,,
-73,127,0.0,,,,,
-73,129,0.0,,,,,
-73,131,0.0,,,,,
-73,133,0.0,,,,,
-73,135,0.0,,,,,
-73,137,0.0,,,,,
-73,139,0.0,,,,,
-73,141,0.0,,,,,
-73,143,0.0,,,,,
-73,145,0.0,,,,,
-73,147,0.0,,,,,
-73,149,0.0,,,,,
-73,151,0.0,,,,,
-73,153,0.0,,,,,
-73,155,0.0,,,,,
-73,157,0.0,,,,,
-73,159,0.0,,,,,
-73,161,0.0,,,,,
-73,163,0.0,,,,,
-73,165,0.0,,,,,
-73,167,0.0,,,,,
-73,169,0.0,,,,,
-73,171,0.0,800.4122138249321,1.0,2.05204,1.0,3.0
-73,173,0.0,757.9534413883744,1.0,1.97303,1.0,3.0
-73,175,0.0,718.491270843728,1.0,1.80776,1.0,3.0
-73,177,0.0,734.7116669576297,1.0,1.56641,0.0,1.0
-73,179,0.0,,,,,
-71,-179,0.0,678.4175315034134,1.0,1.61169,1.0,3.0
-71,-177,0.0,642.3144758698604,1.0,1.55139,0.0,1.0
-71,-175,0.0,488.9371896248449,1.0,1.50515,0.0,1.0
-71,-173,0.0,493.8653579062066,1.0,1.46315,0.0,1.0
-71,-171,0.0,505.6760648738334,1.0,1.31159,0.0,1.0
-71,-169,0.0,586.9531357335094,1.0,1.31214,0.0,1.0
-71,-167,0.0,577.435416939177,1.0,1.2266,0.0,1.0
-71,-165,0.0,567.1106070535297,1.0,1.26562,0.0,1.0
-71,-163,0.0,495.7269170415161,1.0,1.13539,0.0,1.0
-71,-161,0.0,489.68553559051725,1.0,1.16238,0.0,1.0
-71,-159,0.0,486.2764984760314,1.0,1.22666,0.0,1.0
-71,-157,0.0,546.355998932169,1.0,1.10164,0.0,1.0
-71,-155,0.0,544.2042222738893,1.0,1.20168,0.0,1.0
-71,-153,0.0,545.2218634157427,1.0,1.16794,0.0,1.0
-71,-151,0.0,550.1585196664896,1.0,1.17674,0.0,1.0
-71,-149,0.0,551.7680129281811,1.0,1.25489,0.0,1.0
-71,-147,0.0,548.2565512277371,1.0,1.23982,0.0,1.0
-71,-145,0.0,541.0831930780175,1.0,1.18543,0.0,1.0
-71,-143,0.0,527.1042916962272,1.0,1.22819,0.0,1.0
-71,-141,0.0,444.7762148528305,1.0,1.17375,0.0,1.0
-71,-139,0.0,425.29863077155557,0.0,1.20751,0.0,0.0
-71,-137,0.0,415.1351753239142,0.0,1.17824,0.0,0.0
-71,-135,0.0,401.85968290575715,0.0,1.22676,0.0,0.0
-71,-133,0.0,401.37322198106375,0.0,1.26042,0.0,0.0
-71,-131,0.0,390.6600147148871,0.0,1.41972,0.0,0.0
-71,-129,0.0,479.8773294863851,1.0,1.77569,1.0,3.0
-71,-127,0.0,482.9504749835393,1.0,1.94323,1.0,3.0
-71,-125,0.0,474.04914211899404,1.0,2.11069,1.0,3.0
-71,-123,0.0,485.58486217116064,1.0,2.22147,1.0,3.0
-71,-121,0.0,477.6220794229126,1.0,2.18038,1.0,3.0
-71,-119,0.0,462.6058299507287,1.0,2.12232,1.0,3.0
-71,-117,0.0,445.85348693644295,1.0,2.15226,1.0,3.0
-71,-115,0.0,453.97547569705387,1.0,1.93152,1.0,3.0
-71,-113,0.0,455.37729863335306,1.0,2.01262,1.0,3.0
-71,-111,0.0,440.4519625621292,1.0,2.09033,1.0,3.0
-71,-109,0.0,274.03772594451516,0.0,2.03216,1.0,2.0
-71,-107,0.0,273.3238369856357,0.0,2.01932,1.0,2.0
-71,-105,0.0,314.19029492267,0.0,1.96275,1.0,2.0
-71,-103,0.0,363.042773164875,0.0,2.24584,1.0,2.0
-71,-101,0.0,213.06224774342726,0.0,2.33649,1.0,2.0
-71,-99,0.0,294.7418505244958,0.0,2.84733,1.0,2.0
-71,-97,0.0,276.3644675149692,0.0,3.04147,1.0,2.0
-71,-95,0.0,266.14499804533716,0.0,2.98706,1.0,2.0
-71,-93,0.0,225.32155173563123,0.0,2.64802,1.0,2.0
-71,-91,0.0,261.4706064638653,0.0,2.63914,1.0,2.0
-71,-89,0.0,265.35350047410634,0.0,2.52811,1.0,2.0
-71,-87,0.0,262.9077397781703,0.0,2.53119,1.0,2.0
-71,-85,0.0,251.47661084311622,0.0,2.39504,1.0,2.0
-71,-83,0.0,246.15303714780853,0.0,2.37155,1.0,2.0
-71,-81,0.0,214.89039199715404,0.0,2.38644,1.0,2.0
-71,-79,0.0,243.7714144535173,0.0,2.59588,1.0,2.0
-71,-77,0.0,248.81826069563158,0.0,2.61572,1.0,2.0
-71,-75,0.0,,,,,
-71,-73,0.0,,,,,
-71,-71,0.0,,,,,
